Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",10.5 sec ,not known
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",12.9 sec ,16.809
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",11.7 sec ,16.809
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",13.5 sec ,18.184
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",12.2 sec ,16.601
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",13.3 sec ,17.26
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",16.9 sec ,19.183
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",9.4 sec ,15.225
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",11.2 sec ,16.441
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",10.8 sec ,16.548
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",11.2 sec ,not known
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",14.9 sec ,17.405
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",14.9 sec ,17.405
Ford,Fiesta,"Fiesta VII (Mk7, facelift 2013) 5 door",16.8 sec ,18.655
Ford,Focus,Focus III Wagon (facelift 2014),6.7 sec ,13.621
Ford,Focus,Focus III Wagon (facelift 2014),6.7 sec ,13.621
Ford,Focus,Focus III Wagon (facelift 2014),8.1 sec ,15.162
Ford,Focus,Focus III Wagon (facelift 2014),9 sec ,16.809
Ford,Focus,Focus III Wagon (facelift 2014),8.9 sec ,16.86
Ford,Focus,Focus III Wagon (facelift 2014),8.9 sec ,16.86
Ford,Focus,Focus III Wagon (facelift 2014),11.9 sec ,17.26
Ford,Focus,Focus III Wagon (facelift 2014),11.1 sec ,17.308
Ford,Focus,Focus III Wagon (facelift 2014),12.5 sec ,18.272
Ford,Focus,Focus III Wagon (facelift 2014),15.1 sec ,19.607
Ford,Focus,Focus III Wagon (facelift 2014),11 sec ,17.962
Ford,Focus,Focus III Wagon (facelift 2014),11 sec ,17.962
Ford,Focus,Focus III Wagon (facelift 2014),12.7 sec ,19.143
Ford,Focus,Focus III Wagon (facelift 2014),12.7 sec ,19.143
Ford,Focus,Focus III Wagon (facelift 2014),10.7 sec ,17.826
Ford,Focus,Focus III Wagon (facelift 2014),12.1 sec ,17.547
Ford,Focus,Focus III Wagon (facelift 2014),12.2 sec ,19.183
Ford,Focus,Focus III Wagon (facelift 2014),8.8 sec ,15.532
Ford,Focus,Focus III Wagon (facelift 2014),8.8 sec ,15.411
Ford,Focus,Focus III Wagon (facelift 2014),9.1 sec ,16.548
Ford,Focus,Focus III Wagon (facelift 2014),9.1 sec ,16.441
Ford,Focus,Focus III Wagon (facelift 2014),11.2 sec ,17.308
Ford,Focus,Focus III Wagon (facelift 2014),11.2 sec ,17.405
Ford,Focus,Focus III Wagon (facelift 2014),12.7 sec ,18.655
Ford,Focus,Focus III Wagon (facelift 2014),12.7 sec ,18.655
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VII Regular Cab HD,not known
Ford,Orion,Orion I (AFD),not known
Ford,Orion,Orion I (AFD),not known
Ford,Orion,Orion I (AFD),not known
Ford,Orion,Orion I (AFD),not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,16.7 sec ,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Sierra,Sierra Hatchback II,not known
Ford,Focus,Focus III Hatchback (facelift 2014),6.5 sec ,13.542
Ford,Focus,Focus III Hatchback (facelift 2014),6.5 sec ,13.542
Ford,Focus,Focus III Hatchback (facelift 2014),8.1 sec ,15.099
Ford,Focus,Focus III Hatchback (facelift 2014),4.7 sec ,12.423
Ford,Focus,Focus III Hatchback (facelift 2014),11.4 sec ,16.962
Ford,Focus,Focus III Hatchback (facelift 2014),17.012
Ford,Focus,Focus III Hatchback (facelift 2014),8.8 sec ,16.0
Ford,Focus,Focus III Hatchback (facelift 2014),8.7 sec ,16.168
Ford,Focus,Focus III Hatchback (facelift 2014),8.7 sec ,16.168
Ford,Focus,Focus III Hatchback (facelift 2014),11.7 sec ,16.601
Ford,Focus,Focus III Hatchback (facelift 2014),10.9 sec ,16.441
Ford,Focus,Focus III Hatchback (facelift 2014),12.3 sec ,17.357
Ford,Focus,Focus III Hatchback (facelift 2014),14.9 sec ,18.655
Ford,Focus,Focus III Hatchback (facelift 2014),10.8 sec ,17.162
Ford,Focus,Focus III Hatchback (facelift 2014),10.8 sec ,17.162
Ford,Focus,Focus III Hatchback (facelift 2014),12.5 sec ,18.272
Ford,Focus,Focus III Hatchback (facelift 2014),12.5 sec ,18.272
Ford,Focus,Focus III Hatchback (facelift 2014),10.5 sec ,16.962
Ford,Focus,Focus III Hatchback (facelift 2014),11.9 sec ,17.405
Ford,Focus,Focus III Hatchback (facelift 2014),12 sec ,18.315
Ford,Focus,Focus III Hatchback (facelift 2014),8.6 sec ,14.707
Ford,Focus,Focus III Hatchback (facelift 2014),8.6 sec ,14.707
Ford,Focus,Focus III Hatchback (facelift 2014),8.9 sec ,15.828
Ford,Focus,Focus III Hatchback (facelift 2014),8.9 sec ,15.652
Ford,Focus,Focus III Hatchback (facelift 2014),11 sec ,16.653
Ford,Focus,Focus III Hatchback (facelift 2014),11 sec ,16.441
Ford,Focus,Focus III Hatchback (facelift 2014),12.5 sec ,17.734
Ford,Focus,Focus III Hatchback (facelift 2014),12.5 sec ,17.734
Ford,Orion,Orion III (GAL),not known
Ford,Orion,Orion III (GAL),not known
Ford,Orion,Orion III (GAL),not known
Ford,Orion,Orion III (GAL),not known
Ford,Orion,Orion III (GAL),not known
Ford,Orion,Orion III (GAL),not known
Ford,Orion,Orion III (GAL),not known
Ford,Orion,Orion III (GAL),not known
Ford,Freestyle,Freestyle,15.885
Ford,Freestyle,Freestyle,15.652
Ford,Mustang,Mustang VI,12.034
Ford,Mustang,Mustang VI,11.933
Ford,Mustang,Mustang VI,12.134
Ford,Mustang,Mustang VI,4.8 sec ,12.134
Ford,Mustang,Mustang VI,13.218
Ford,Mustang,Mustang VI,13.218
Ford,Mustang,Mustang VI,13.134
Ford,Mustang,Mustang VI,5.8 sec ,13.134
Ford,Mustang,Mustang VI,13.134
Ford,Mustang,Mustang VI,13.134
Ford,Edge,Edge II,14.221
Ford,Edge,Edge II,14.002
Ford,Edge,Edge II,13.699
Ford,Edge,Edge II,13.463
Ford,Edge,Edge II,9.4 sec ,15.711
Ford,Edge,Edge II,9.9 sec ,16.441
Ford,Edge,Edge II,14.905
Ford,Edge,Edge II,14.639
Ford,Taurus,Taurus IV Station Wagon,15.099
Ford,Taurus,Taurus IV Station Wagon,15.099
Ford,Taurus,Taurus IV Station Wagon,10.9 sec ,16.495
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Escort,"Escort IV (GAF,AWF,ABFT)",not known
Ford,Windstar,Windstar I,16.809
Ford,Windstar,Windstar I,13.5 sec ,17.308
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII SuperCab HD,not known
Ford,Bronco,Bronco VI Two-door,not known
Ford,Bronco,Bronco VI Two-door,not known
Ford,Bronco,Bronco VI Two-door,not known
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),8.1 sec ,15.162
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),9.5 sec ,16.168
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),8.9 sec ,16.112
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),10.2 sec ,16.962
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),9.5 sec ,16.911
Ford,Mondeo,Mondeo III Hatchback (facelift 2010),11.2 sec ,18.052
