Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Ford,F-Series F-100/F-150,F-Series F-150 X SuperCrew,not known
Ford,F-Series F-100/F-150,F-Series F-150 X SuperCrew,not known
Ford,F-Series F-100/F-150,F-Series F-150 X SuperCrew,not known
Ford,F-Series F-100/F-150,F-Series F-150 X SuperCrew,not known
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,not known
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,not known
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,13.218
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,13.463
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,13.382
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,13.621
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,13.218
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,13.463
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,14.502
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,14.773
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,16.056
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,14.075
Ford,F-Series F-100/F-150,F-Series F-150 XIV SuperCrew,14.363
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Long box,15.162
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Long box,not known
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Long box,15.592
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Long box,not known
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Long box,14.905
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Long box,not known
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Long box,15.225
Ford,F-350 Super Duty,F-350 Super Duty III Crew Cab Long box,not known
Ford,S-MAX,S-MAX,7.9 sec ,14.905
Ford,S-MAX,S-MAX,11.2 sec ,16.333
Ford,S-MAX,S-MAX,11.2 sec ,16.333
Ford,S-MAX,S-MAX,9.4 sec ,16.279
Ford,S-MAX,S-MAX,10.2 sec ,17.547
Ford,S-MAX,S-MAX,10.9 sec ,17.547
Ford,S-MAX,S-MAX,10.9 sec ,18.007
Ford,S-MAX,S-MAX,10.9 sec ,16.911
Ford,S-MAX,S-MAX,11.6 sec ,18.272
Ford,S-MAX,S-MAX,not known
Ford,Explorer,Explorer VI,13.218
Ford,Explorer,Explorer VI,13.699
Ford,Explorer,Explorer VI,14.571
Ford,Explorer,Explorer VI,6 sec ,13.134
Ford,Explorer,Explorer VI,not known
Ford,Explorer,Explorer VI,14.221
Ford,Taurus,Taurus I,7.6 sec ,14.002
Ford,Taurus,Taurus I,9 sec ,16.279
Ford,Taurus,Taurus I,16.168
Ford,Taurus,Taurus I,17.871
Ford,Taurus,Taurus I,18.529
Ford,Taurus,Taurus I,18.529
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,F-Series F-100/F-150,F-Series F-100 IV,not known
Ford,Granada,"Granada (GGTL,GGFL)",9 sec ,16.495
Ford,Granada,"Granada (GGTL,GGFL)",not known
Ford,Granada,"Granada (GGTL,GGFL)",not known
Ford,Granada,"Granada (GGTL,GGFL)",not known
Ford,Granada,"Granada (GGTL,GGFL)",not known
Ford,Granada,"Granada (GGTL,GGFL)",not known
Ford,Granada,"Granada (GGTL,GGFL)",not known
Ford,Mondeo,Mondeo I Wagon,8.7 sec ,15.225
Ford,Mondeo,Mondeo I Wagon,16.495
Ford,Mondeo,Mondeo I Wagon,9.9 sec ,16.653
Ford,Mondeo,Mondeo I Wagon,14.1 sec ,18.902
Ford,Mondeo,Mondeo I Wagon,11.4 sec ,17.012
Ford,Mondeo,Mondeo I Wagon,13.9 sec ,18.697
Ford,Mondeo,Mondeo I Wagon,13.9 sec ,18.571
Ford,Five Hundred,Five Hundred,15.472
Ford,Five Hundred,Five Hundred,15.225
Ford,F-350 Super Duty,F-350 Super Duty IV Super Cab Short box,14.433
Ford,F-350 Super Duty,F-350 Super Duty IV Super Cab Short box,14.707
Ford,F-350 Super Duty,F-350 Super Duty IV Super Cab Short box,14.639
Ford,F-350 Super Duty,F-350 Super Duty IV Super Cab Short box,14.97
Ford,F-250 Super Duty,F-250 Super Duty V Crew Cab Short box,14.148
Ford,F-250 Super Duty,F-250 Super Duty V Crew Cab Short box,14.363
Ford,F-250 Super Duty,F-250 Super Duty V Crew Cab Short box,14.363
Ford,F-250 Super Duty,F-250 Super Duty V Crew Cab Short box,14.639
Ford,F-250 Super Duty,F-250 Super Duty V Crew Cab Short box,14.002
Ford,F-250 Super Duty,F-250 Super Duty V Crew Cab Short box,14.292
Ford,F-250 Super Duty,F-250 Super Duty V Crew Cab Short box,14.221
Ford,F-250 Super Duty,F-250 Super Duty V Crew Cab Short box,14.502
Ford,Maverick,Maverick II,10.5 sec ,15.472
Ford,Maverick,Maverick II,10.7 sec ,16.441
Ford,Maverick,Maverick II,17.594
Ford,Maverick,Maverick II,13.5 sec ,17.308
Ford,Focus,Focus Turnier I,8.5 sec ,14.773
Ford,Focus,Focus Turnier I,9.6 sec ,15.828
Ford,Focus,Focus Turnier I,9.6 sec ,16.224
Ford,Focus,Focus Turnier I,12.4 sec ,18.14
Ford,Focus,Focus Turnier I,10.8 sec ,17.112
Ford,Focus,Focus Turnier I,15.1 sec ,19.261
Ford,Focus,Focus Turnier I,10.7 sec ,16.441
Ford,Focus,Focus Turnier I,13 sec ,not known
Ford,Focus,Focus Turnier I,11 sec ,17.26
Ford,Focus,Focus Turnier I,11 sec ,17.26
Ford,Focus,Focus Turnier I,14.6 sec ,18.655
Ford,Focus,Focus II Hatchback,6.8 sec ,13.927
Ford,Focus,Focus II Hatchback,5.9 sec ,12.788
Ford,Focus,Focus II Hatchback,9.3 sec ,16.224
Ford,Focus,Focus II Hatchback,9.2 sec ,15.828
Ford,Focus,Focus II Hatchback,10.7 sec ,15.828
Ford,Focus,Focus II Hatchback,10.8 sec ,17.211
Ford,Focus,Focus II Hatchback,10.5 sec ,16.387
Ford,Focus,Focus II Hatchback,10.9 sec ,17.308
Ford,Focus,Focus II Hatchback,12.6 sec ,18.401
Ford,Focus,Focus II Hatchback,10.8 sec ,16.809
Ford,Focus,Focus II Hatchback,11.9 sec ,17.547
Ford,Focus,Focus II Hatchback,13.6 sec ,17.547
Ford,Focus,Focus II Hatchback,14.1 sec ,18.943
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,18.315
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,18.184
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,19.942
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,19.794
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,21.275
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,17.871
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,17.917
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,17.78
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,not known
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,not known
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,not known
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,19.905
Ford,Tourneo Custom,Tourneo Custom I (facelift 2018) L1,20.816
Ford,S-MAX,S-MAX II (facelift 2019),9.8 sec ,16.279
Ford,S-MAX,S-MAX II (facelift 2019),9.8 sec ,16.112
Ford,S-MAX,S-MAX II (facelift 2019),9.7 sec ,16.112
Ford,S-MAX,S-MAX II (facelift 2019),9.9 sec ,16.333
Ford,S-MAX,S-MAX II (facelift 2019),10.8 sec ,17.452
Ford,S-MAX,S-MAX II (facelift 2019),10.6 sec ,17.452
Ford,S-MAX,S-MAX II (facelift 2019),8.6 sec ,15.035
Ford,S-MAX,S-MAX II (facelift 2019),10.2 sec ,16.548
Ford,F-250 Super Duty,F-250 Super Duty IV (facelift 2020) Regular Cab Long box,13.852
Ford,F-250 Super Duty,F-250 Super Duty IV (facelift 2020) Regular Cab Long box,13.382
Ford,F-250 Super Duty,F-250 Super Duty IV (facelift 2020) Regular Cab Long box,13.927
Ford,F-250 Super Duty,F-250 Super Duty IV (facelift 2020) Regular Cab Long box,14.221
Ford,F-250 Super Duty,F-250 Super Duty IV (facelift 2020) Regular Cab Long box,14.292
Ford,F-250 Super Duty,F-250 Super Duty IV (facelift 2020) Regular Cab Long box,14.639
Ford,F-250 Super Duty,F-250 Super Duty V Super Cab Long box,14.148
Ford,F-250 Super Duty,F-250 Super Duty V Super Cab Long box,14.433
Ford,F-250 Super Duty,F-250 Super Duty V Super Cab Long box,14.363
Ford,F-250 Super Duty,F-250 Super Duty V Super Cab Long box,14.707
Ford,F-250 Super Duty,F-250 Super Duty V Super Cab Long box,14.075
Ford,F-250 Super Duty,F-250 Super Duty V Super Cab Long box,14.292
Ford,F-250 Super Duty,F-250 Super Duty V Super Cab Long box,14.292
Ford,F-250 Super Duty,F-250 Super Duty V Super Cab Long box,14.571
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-Series F-250,F-Series F-250 VIII Regular Cab HD,not known
Ford,F-450 Super Duty,F-450 Super Duty III Crew Cab Long box,not known
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005)  5 door",11.9 sec ,16.706
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005)  5 door",11 sec ,16.601
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005)  5 door",11.9 sec ,17.405
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005)  5 door",14.6 sec ,17.826
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005)  5 door",13.2 sec ,17.78
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005)  5 door",15.5 sec ,18.983
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.221
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.571
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.571
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.84
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.221
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.571
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.502
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.84
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.773
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,15.099
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,14.773
Ford,F-350 Super Duty,F-350 Super Duty IV (facelift 2020) Super Cab Long box,15.411
Ford,Fiesta,Fiesta V (Mk5) 3 door,14.3 sec ,18.529
Ford,Fiesta,Fiesta V (Mk5) 3 door,17.6 sec ,19.978
Ford,Fiesta,Fiesta V (Mk5) 3 door,10.2 sec ,16.333
Ford,Fiesta,Fiesta V (Mk5) 3 door,15.9 sec ,19.417
Ford,Fiesta,Fiesta V (Mk5) 3 door,19.5 sec ,20.613
Ford,Fiesta,Fiesta V (Mk5) 3 door,12.7 sec ,18.052
Ford,Mondeo,Mondeo IV Wagon,8.1 sec ,14.773
Ford,Mondeo,Mondeo IV Wagon,9.5 sec ,15.711
Ford,Mondeo,Mondeo IV Wagon,8.7 sec ,15.711
Ford,Mondeo,Mondeo IV Wagon,8.5 sec ,15.711
Ford,Mondeo,Mondeo IV Wagon,8.4 sec ,15.711
Ford,Mondeo,Mondeo IV Wagon,10 sec ,16.706
Ford,Mondeo,Mondeo IV Wagon,9.5 sec ,16.653
Ford,Mondeo,Mondeo IV Wagon,10.5 sec ,16.706
Ford,Mondeo,Mondeo IV Wagon,9.4 sec ,16.653
Ford,Mondeo,Mondeo IV Wagon,8 sec ,14.221
Ford,Mondeo,Mondeo IV Wagon,8.8 sec ,15.035
Ford,Mondeo,Mondeo IV Wagon,12.3 sec ,17.917
Ford,Mondeo,Mondeo IV Wagon,12.3 sec ,17.917
Ford,Mondeo,Mondeo IV Wagon,11.9 sec ,not known
Ford,Mondeo,Mondeo IV Wagon,11.7 sec ,not known
Ford,Mondeo,Mondeo IV Wagon,9.2 sec ,16.056
Ford,Mondeo,Mondeo IV Wagon,9.3 sec ,16.0
Ford,Mondeo,Mondeo IV Wagon,12.1 sec ,17.26
Ford,Mondeo,Mondeo III Wagon,7.5 sec ,14.363
Ford,Mondeo,Mondeo III Wagon,10.8 sec ,15.885
Ford,Mondeo,Mondeo III Wagon,8.9 sec ,15.472
Ford,Mondeo,Mondeo III Wagon,9.5 sec ,16.653
Ford,Mondeo,Mondeo III Wagon,10.9 sec ,17.162
Ford,Mondeo,Mondeo III Wagon,9.9 sec ,16.168
Ford,Mondeo,Mondeo III Wagon,12.9 sec ,16.962
Ford,Mondeo,Mondeo III Wagon,12.9 sec ,17.688
Ford,Ranger,Ranger IV SuperCab (Americas),not known
Ford,Ranger,Ranger IV SuperCab (Americas),not known
Ford,F-250 Super Duty,F-250 Super Duty III Regular Cab Long box,14.148
Ford,F-250 Super Duty,F-250 Super Duty III Regular Cab Long box,14.148
Ford,F-250 Super Duty,F-250 Super Duty III Regular Cab Long box,14.433
Ford,F-250 Super Duty,F-250 Super Duty III Regular Cab Long box,14.773
Ford,F-350 Super Duty,F-350 Super Duty III Super Cab Long box,14.639
Ford,F-350 Super Duty,F-350 Super Duty III Super Cab Long box,not known
Ford,F-350 Super Duty,F-350 Super Duty III Super Cab Long box,15.411
Ford,F-350 Super Duty,F-350 Super Duty III Super Cab Long box,not known
Ford,F-350 Super Duty,F-350 Super Duty III Super Cab Long box,14.773
Ford,F-350 Super Duty,F-350 Super Duty III Super Cab Long box,not known
Ford,F-350 Super Duty,F-350 Super Duty III Super Cab Long box,15.035
Ford,F-350 Super Duty,F-350 Super Duty III Super Cab Long box,not known
Ford,Mondeo,Mondeo II Wagon,7.7 sec ,14.148
Ford,Mondeo,Mondeo II Wagon,8.1 sec ,14.707
Ford,Mondeo,Mondeo II Wagon,10.7 sec ,15.711
Ford,Mondeo,Mondeo II Wagon,9 sec ,15.711
Ford,Mondeo,Mondeo II Wagon,9 sec ,16.112
Ford,Mondeo,Mondeo II Wagon,11.6 sec ,17.112
Ford,Mondeo,Mondeo II Wagon,10.2 sec ,17.112
Ford,Mondeo,Mondeo II Wagon,13 sec ,18.052
Ford,Mondeo,Mondeo II Wagon,11.2 sec ,18.052
Ford,Mondeo,Mondeo II Wagon,13.7 sec ,19.569
Ford,Mondeo,Mondeo II Wagon,11.8 sec ,16.279
Ford,Mondeo,Mondeo II Wagon,10.2 sec ,16.279
Ford,Mondeo,Mondeo II Wagon,11.2 sec ,17.062
Ford,Mondeo,Mondeo II Wagon,12.1 sec ,17.826
Ford,Ranger,Ranger III Super Cab (facelift 2015),16.224
Ford,Ranger,Ranger III Super Cab (facelift 2015),10.4 sec ,16.548
Ford,Ranger,Ranger III Super Cab (facelift 2015),10.3 sec ,16.224
Ford,Ranger,Ranger III Super Cab (facelift 2015),12.6 sec ,17.78
Ford,Ranger,Ranger III Super Cab (facelift 2015),11.8 sec ,17.5
Ford,Ranger,Ranger III Super Cab (facelift 2015),14.9 sec ,18.902
Ford,Tourneo Courier,Tourneo Courier I,14 sec ,18.052
Ford,Tourneo Courier,Tourneo Courier I,14 sec ,18.052
Ford,Tourneo Courier,Tourneo Courier I,16 sec ,19.531
Ford,Tourneo Courier,Tourneo Courier I,16 sec ,19.531
Ford,Tourneo Courier,Tourneo Courier I,12.3 sec ,17.688
Ford,Tourneo Courier,Tourneo Courier I,12.3 sec ,17.641
Ford,Focus,Focus Hatchback (USA),7.4 sec ,14.773
Ford,Focus,Focus Hatchback (USA),9.5 sec ,16.056
Ford,Focus,Focus Hatchback (USA),9 sec ,15.885
Ford,Focus,Focus Hatchback (USA),9.5 sec ,16.758
Ford,Mondeo,Mondeo I Wagon (facelift 1996),7.8 sec ,14.363
Ford,Mondeo,Mondeo I Wagon (facelift 1996),12.2 sec ,16.653
Ford,Mondeo,Mondeo I Wagon (facelift 1996),10.3 sec ,16.653
Ford,Mondeo,Mondeo I Wagon (facelift 1996),11.3 sec ,17.26
Ford,Mondeo,Mondeo I Wagon (facelift 1996),13.6 sec ,18.983
Ford,Mondeo,Mondeo I Wagon (facelift 1996),13.2 sec ,18.096
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,F-Series F-250,F-Series F-250 VI Crew Cab,not known
Ford,Mustang,Mustang V,13.049
Ford,Mustang,Mustang V,7 sec ,14.639
Ford,Mustang,Mustang V,7 sec ,14.639
Ford,Mustang,Mustang V,14.707
Ford,Equator,Equator,16.112
Ford,Equator,Equator,15.288
Ford,F-250 Super Duty,F-250 Super Duty III Super Cab Long box,14.502
Ford,F-250 Super Duty,F-250 Super Duty III Super Cab Long box,14.905
Ford,F-250 Super Duty,F-250 Super Duty III Super Cab Long box,14.707
Ford,F-250 Super Duty,F-250 Super Duty III Super Cab Long box,15.035
Ford,Explorer,Explorer III,14.221
Ford,Explorer,Explorer III,14.221
Ford,Explorer,Explorer III,8 sec ,15.472
Ford,Explorer,Explorer III,8.6 sec ,15.288
Ford,Explorer,Explorer III,15.225
Ford,Explorer,Explorer III,10 sec ,15.885
Ford,Territory,"Territory I (CX743, China)",9.5 sec ,16.809
Ford,Territory,"Territory I (CX743, China)",16.911
Ford,Territory,"Territory I (CX743, China)",16.809
Ford,Taunus,Taunus Turnier (GBNS),not known
Ford,Taunus,Taunus Turnier (GBNS),not known
Ford,Taunus,Taunus Turnier (GBNS),not known
Ford,Taunus,Taunus Turnier (GBNS),not known
Ford,Taunus,Taunus Turnier (GBNS),not known
Ford,Mondeo,Mondeo V Sedan,14.148
Ford,Mustang,Mustang Convertible I,12.608
Ford,Mustang,Mustang Convertible I,13.699
Ford,Mustang,Mustang Convertible I,14.905
Ford,Mustang,Mustang Convertible I,17.5
Ford,Taunus,Taunus Coupe (GBCK),not known
Ford,Taunus,Taunus Coupe (GBCK),not known
Ford,Taunus,Taunus Coupe (GBCK),not known
Ford,Taunus,Taunus Coupe (GBCK),not known
Ford,Taunus,Taunus Coupe (GBCK),not known
Ford,Edge,"Edge Plus II (China, facelift 2021)",15.411
Ford,Edge,"Edge Plus II (China, facelift 2021)",15.162
Ford,Edge,"Edge Plus II (China, facelift 2021)",14.905
Ford,Fusion,Fusion (USA),14.639
Ford,Fusion,Fusion (USA),15.711
Ford,Bronco,Bronco V,not known
Ford,Bronco,Bronco V,not known
Ford,Bronco,Bronco V,not known
Ford,Bronco,Bronco V,not known
Ford,Bronco,Bronco V,not known
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Fiesta,Fiesta II (Mk2),9.3 sec ,15.652
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Fiesta,Fiesta II (Mk2),not known
Ford,Shelby,Shelby II (facelift 2010),10.425
Ford,Shelby,Shelby II (facelift 2010),11.054
Ford,Shelby,Shelby II (facelift 2010),11.172
Ford,Tourneo Connect,Grand Tourneo Connect II,11.1 sec ,16.168
Ford,Tourneo Connect,Grand Tourneo Connect II,10.9 sec ,not known
Ford,Tourneo Connect,Grand Tourneo Connect II,14.1 sec ,17.641
Ford,Tourneo Connect,Grand Tourneo Connect II,14.1 sec ,not known
Ford,Tourneo Connect,Grand Tourneo Connect II,15.1 sec ,18.738
Ford,Tourneo Connect,Grand Tourneo Connect II,15.1 sec ,not known
Ford,Tourneo Connect,Grand Tourneo Connect II,15.1 sec ,18.738
Ford,Tourneo Connect,Grand Tourneo Connect II,15.1 sec ,not known
Ford,Tourneo Connect,Grand Tourneo Connect II,18.3 sec ,20.3
Ford,Tourneo Connect,Grand Tourneo Connect II,18.3 sec ,not known
Ford,Tourneo Connect,Grand Tourneo Connect II,18.3 sec ,20.3
Ford,Tourneo Connect,Grand Tourneo Connect II,18.3 sec ,not known
Ford,GT,GT,3.6 sec ,10.811
Ford,GT,GT,3.8 sec ,10.811
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005) 3 door",8.4 sec ,15.035
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005) 3 door",11.9 sec ,16.653
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005) 3 door",10.7 sec ,16.601
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005) 3 door",11.9 sec ,17.734
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005) 3 door",14.6 sec ,17.78
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005) 3 door",13.2 sec ,17.734
Ford,Fiesta,"Fiesta VI (Mk6, facelift 2005) 3 door",15.5 sec ,18.902
Ford,Fiesta,"Fiesta VIII (Mk8, facelift 2022) 5 door",6.5 sec ,13.776
Ford,Fiesta,"Fiesta VIII (Mk8, facelift 2022) 5 door",14.7 sec ,18.487
Ford,Fiesta,"Fiesta VIII (Mk8, facelift 2022) 5 door",8.9 sec ,14.707
Ford,Fiesta,"Fiesta VIII (Mk8, facelift 2022) 5 door",9.6 sec ,16.0
Ford,Fiesta,"Fiesta VIII (Mk8, facelift 2022) 5 door",9.4 sec ,15.828
Ford,Fiesta,"Fiesta VIII (Mk8, facelift 2022) 5 door",9.4 sec ,15.652
Ford,Fiesta,"Fiesta VIII (Mk8, facelift 2022) 5 door",10.8 sec ,16.86
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),12.6 sec ,18.315
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),12.6 sec ,18.315
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),12.9 sec ,18.358
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),12.9 sec ,18.358
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),13.3 sec ,19.063
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),13.3 sec ,19.063
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),14.1 sec ,19.607
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),14.1 sec ,19.607
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),17.8 sec ,21.339
Ford,Tourneo Connect,Grand Tourneo Connect II (facelift 2018),17.8 sec ,21.339
Ford,F-250 Super Duty,F-250 Super Duty III Crew Cab Short box,14.639
Ford,F-250 Super Duty,F-250 Super Duty III Crew Cab Short box,14.905
Ford,F-250 Super Duty,F-250 Super Duty III Crew Cab Short box,14.773
Ford,F-250 Super Duty,F-250 Super Duty III Crew Cab Short box,15.099
Ford,F-Series F-250,F-Series F-250 VII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VII SuperCab HD,not known
Ford,F-Series F-250,F-Series F-250 VII SuperCab HD,not known
Ford,Fiesta,Fiesta VI (Mk6) 5 door,10.6 sec ,16.548
Ford,Fiesta,Fiesta VI (Mk6) 5 door,16 sec ,19.531
Ford,Fiesta,Fiesta VI (Mk6) 5 door,14.8 sec ,19.531
Ford,Fiesta,Fiesta VI (Mk6) 5 door,13.8 sec ,17.78
Ford,Fiesta,Fiesta VI (Mk6) 5 door,13.2 sec ,17.78
Ford,Fiesta,Fiesta VI (Mk6) 5 door,15.3 sec ,18.613
Ford,Fiesta,Fiesta VI (Mk6) 5 door,18.8 sec ,19.607
