Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Hyundai,i30,i30 III (facelift 2020),10.9 sec ,17.062
Hyundai,i30,i30 III (facelift 2020),8.6 sec ,15.162
Hyundai,i30,i30 III (facelift 2020),8.4 sec ,15.035
Hyundai,i30,i30 III (facelift 2020),12.3 sec ,16.706
Hyundai,i30,i30 III (facelift 2020),11.2 sec ,16.548
Hyundai,i30,i30 III (facelift 2020),11.2 sec ,16.387
Hyundai,i30,i30 III (facelift 2020),11.2 sec ,16.495
Hyundai,i30,i30 III (facelift 2020),11.2 sec ,16.333
Hyundai,Lantra,Lantra Combi,not known
Hyundai,Lantra,Lantra Combi,not known
Hyundai,Matrix,Matrix,12.7 sec ,16.911
Hyundai,Matrix,Matrix,11.3 sec ,16.911
Hyundai,Matrix,Matrix,12.7 sec ,17.734
Hyundai,Matrix,Matrix,12.7 sec ,17.734
Hyundai,Matrix,Matrix,14 sec ,19.378
Hyundai,Matrix,Matrix,14.3 sec ,17.594
Hyundai,Aura,Aura,not known
Hyundai,Aura,Aura,not known
Hyundai,Aura,Aura,not known
Hyundai,Aura,Aura,not known
Hyundai,Aura,Aura,not known
Hyundai,Aura,Aura,not known
Hyundai,i20,i20 III (facelift 2023),11.4 sec ,16.809
Hyundai,i20,i20 III (facelift 2023),10.4 sec ,16.706
Hyundai,Solaris,Solaris I,11.2 sec ,15.885
Hyundai,Solaris,Solaris I,10.2 sec ,15.828
Hyundai,Solaris,Solaris I,13.2 sec ,16.653
Hyundai,Solaris,Solaris I,11.5 sec ,16.548
Hyundai,i20,i20 I (PB),10.4 sec ,16.112
Hyundai,i20,i20 I (PB),10.7 sec ,16.279
Hyundai,i20,i20 I (PB),11.4 sec ,15.885
Hyundai,i20,i20 I (PB),9.5 sec ,15.711
Hyundai,i20,i20 I (PB),13.6 sec ,17.452
Hyundai,i20,i20 I (PB),16.2 sec ,18.571
Hyundai,i20,i20 I (PB),12.9 sec ,16.548
Hyundai,i20,i20 I (PB),11.6 sec ,16.387
Hyundai,i20,i20 I (PB),12.9 sec ,18.007
Hyundai,Sonata,Sonata VI (YF),9 sec ,14.707
Hyundai,Sonata,Sonata VI (YF),8.5 sec ,14.707
Hyundai,Sonata,Sonata VI (YF),14.905
Hyundai,Sonata,Sonata VI (YF),9.5 sec ,15.162
Hyundai,Sonata,Sonata VI (YF),9.1 sec ,15.099
Hyundai,Sonata,Sonata VI (YF),8.5 sec ,13.463
Hyundai,Sonata,Sonata VI (YF),10.9 sec ,15.532
Hyundai,Sonata,Sonata VI (YF),9.8 sec ,15.472
Hyundai,Sonata,Sonata III (Y3),10.1 sec ,15.592
Hyundai,Sonata,Sonata III (Y3),12.5 sec ,16.056
Hyundai,Sonata,Sonata III (Y3),10.2 sec ,16.0
Hyundai,Sonata,Sonata III (Y3),13.8 sec ,17.162
Hyundai,Sonata,Sonata III (Y3),12.1 sec ,17.78
Hyundai,H-1,H-1 II/Grand Starex (facelift 2018),17.962
Hyundai,H-1,H-1 II/Grand Starex (facelift 2018),18.401
Hyundai,i40,i40 Sedan (facelift 2015),10.6 sec ,15.711
Hyundai,i40,i40 Sedan (facelift 2015),9.8 sec ,15.652
Hyundai,i40,i40 Sedan (facelift 2015),10.8 sec ,16.758
Hyundai,i40,i40 Sedan (facelift 2015),10.3 sec ,16.706
Hyundai,i40,i40 Sedan (facelift 2015),12.4 sec ,17.826
Hyundai,i40,i40 Sedan (facelift 2015),11.5 sec ,16.548
Hyundai,Venue,Venue,15.472
Hyundai,Venue,Venue,15.472
Hyundai,Venue,Venue,not known
Hyundai,Venue,Venue,not known
Hyundai,Venue,Venue,not known
Hyundai,Venue,Venue,not known
Hyundai,Sonata,Sonata VIII (DN8),13.463
Hyundai,Sonata,Sonata VIII (DN8),14.773
Hyundai,Sonata,Sonata VIII (DN8),15.099
Hyundai,Sonata,Sonata VIII (DN8),15.225
Hyundai,Accent,Accent IV,15.592
Hyundai,Accent,Accent IV,15.472
Hyundai,Accent,Accent IV,15.035
Hyundai,Lafesta,Lafesta,14.363
Hyundai,Lafesta,Lafesta,14.502
Hyundai,Lafesta,Lafesta,15.828
Hyundai,Sonata,Sonata I (Y),not known
Hyundai,Sonata,Sonata I (Y),not known
Hyundai,Sonata,Sonata I (Y),not known
Hyundai,Sonata,Sonata I (Y),not known
Hyundai,Trajet,Trajet (FO),11.5 sec ,16.706
Hyundai,Trajet,Trajet (FO),not known
Hyundai,Trajet,Trajet (FO),14.7 sec ,17.962
Hyundai,Trajet,Trajet (FO),13.1 sec ,17.962
Hyundai,Trajet,Trajet (FO),14.2 sec ,19.339
Hyundai,Trajet,Trajet (FO),14.2 sec ,19.339
Hyundai,Veracruz,Veracruz,8.1 sec ,14.707
Hyundai,Veracruz,Veracruz,14.84
Hyundai,Veracruz,Veracruz,15.162
Hyundai,Veracruz,Veracruz,15.162
Hyundai,Veracruz,Veracruz,15.35
Hyundai,Veracruz,Veracruz,15.35
Hyundai,Veracruz,Veracruz,15.532
Hyundai,Veracruz,Veracruz,15.472
Hyundai,Veracruz,Veracruz,15.652
Hyundai,Grandeur/Azera,Grandeur I (L),10.7 sec ,15.943
Hyundai,Grandeur/Azera,Grandeur I (L),15.5 sec ,16.809
Hyundai,Grandeur/Azera,Grandeur I (L),15.7 sec ,17.26
Hyundai,Grandeur/Azera,Grandeur I (L),12.9 sec ,17.162
Hyundai,i30,i30 I (facelift 2010),12.8 sec ,16.962
Hyundai,i30,i30 I (facelift 2010),11.6 sec ,16.911
Hyundai,i30,i30 I (facelift 2010),14.9 sec ,18.401
Hyundai,i30,i30 I (facelift 2010),12.1 sec ,16.112
Hyundai,i30,i30 I (facelift 2010),11.1 sec ,16.056
Hyundai,i30,i30 I (facelift 2010),12.6 sec ,16.809
Hyundai,Veloster,Veloster (facelift 2015),8 sec ,14.221
Hyundai,Veloster,Veloster (facelift 2015),8.4 sec ,14.292
Hyundai,Atos,Atos,15.4 sec ,not known
Hyundai,Atos,Atos,15.4 sec ,not known
Hyundai,Atos,Atos,15.1 sec ,19.183
Hyundai,Atos,Atos,15.1 sec ,19.183
Hyundai,Atos,Atos,15.1 sec ,18.613
Hyundai,Atos,Atos,15.1 sec ,18.613
Hyundai,H-1,H-1 II Cargo,14.6 sec ,17.5
Hyundai,H-1,H-1 II Cargo,14.6 sec ,17.211
Hyundai,H-1,H-1 II Cargo,17.6 sec ,18.821
Hyundai,H-1,H-1 II Cargo,17.6 sec ,18.487
Hyundai,H-1,H-1 II Cargo,22.1 sec ,19.831
Hyundai,H-1,H-1 II Cargo,22.1 sec ,19.493
Hyundai,Verna,Verna V (facelift 2020),not known
Hyundai,Verna,Verna V (facelift 2020),not known
Hyundai,Verna,Verna V (facelift 2020),not known
Hyundai,Verna,Verna V (facelift 2020),not known
Hyundai,Verna,Verna V (facelift 2020),not known
Hyundai,Tucson,Tucson II,not known
Hyundai,Tucson,Tucson II,not known
Hyundai,Tucson,Tucson II,not known
Hyundai,i30,i30 III CW,10.9 sec ,16.279
Hyundai,i30,i30 III CW,10.5 sec ,16.112
Hyundai,i30,i30 III CW,11.5 sec ,17.452
Hyundai,i30,i30 III CW,11.3 sec ,17.308
Hyundai,i30,i30 III CW,9.5 sec ,15.885
Hyundai,i30,i30 III CW,9.2 sec ,15.769
Hyundai,i30,i30 III CW,12.9 sec ,17.405
Hyundai,i30,i30 III CW,11.4 sec ,16.548
Hyundai,Sonata,Sonata II (Y2),12.5 sec ,15.652
Hyundai,Sonata,Sonata II (Y2),16.758
Hyundai,Sonata,Sonata II (Y2),16.653
Hyundai,Sonata,Sonata II (Y2),16.911
Hyundai,Sonata,Sonata II (Y2),16.86
Hyundai,Sonata,Sonata II (Y2),13.4 sec ,15.828
Hyundai,Sonata,Sonata II (Y2),not known
Hyundai,Sonata,Sonata II (Y2),17.405
Hyundai,Sonata,Sonata II (Y2),17.547
Hyundai,Sonata,Sonata II (Y2),17.547
Hyundai,Sonata,Sonata II (Y2),13 sec ,17.78
Hyundai,Sonata,Sonata II (Y2),13 sec ,17.641
Hyundai,Accent,Accent II,11.1 sec ,16.168
Hyundai,Accent,Accent II,10.3 sec ,16.168
Hyundai,Accent,Accent II,10.5 sec ,16.653
Hyundai,Accent,Accent II,10.5 sec ,16.653
Hyundai,Accent,Accent II,10.5 sec ,16.441
Hyundai,Accent,Accent II,12 sec ,16.809
Hyundai,Accent,Accent II,11.5 sec ,16.809
Hyundai,Accent,Accent II,14 sec ,17.78
Hyundai,Accent,Accent II,15.1 sec ,17.162
Hyundai,Accent,Accent II,12.5 sec ,17.162
Hyundai,Accent,Accent II,14.7 sec ,18.358
Hyundai,Avante,Avante,not known
Hyundai,Avante,Avante,not known
Hyundai,Avante,Avante,not known
Hyundai,Avante,Avante,not known
Hyundai,Avante,Avante,not known
