Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Alpina,B5,"B5 Sedan (F10 LCI, Facelift 2013)",4.2 sec ,11.287
Alpina,D10,D10 Touring (E39),7.5 sec ,14.571
Alpina,D10,D10 Touring (E39),7.5 sec ,14.571
Aston Martin,DB6,DB6 Mark II,12.516
Alpina,D3,"D3 Touring (F31 LCI, Facelift 2015)",4.6 sec ,12.516
Alpina,D3,"D3 Touring (F31 LCI, Facelift 2015)",4.5 sec ,12.877
Aston Martin,DB7,DB7 GT,12.232
Aston Martin,DB7,DB7 GT,4.9 sec ,12.034
Alpina,D3,D3 (F30),4.6 sec ,not known
Acura,Integra,Integra II Sedan,15.652
Acura,Integra,Integra II Sedan,15.532
Acura,Integra,Integra II Sedan,15.943
Acura,Integra,Integra II Sedan,15.828
Aston Martin,Virage,Virage Limited Edition,not known
Aston Martin,Vanquish,Vanquish S II,3.5 sec ,10.811
Aston Martin,Vanquish,V12 Vanquish S,4.8 sec ,11.619
Aston Martin,Virage,Virage Volante,not known
Aston Martin,Virage,Virage Volante,6 sec ,13.218
Alpina,B4,B4 Cabrio (facelift 2017),4.3 sec ,12.134
Alpina,B4,B4 Cabrio (facelift 2017),4.3 sec ,12.423
Aston Martin,Virage,Virage Vantage,11.4
Aston Martin,Virage,Virage Vantage,not known
Aston Martin,Virage,Virage Vantage,not known
Alpina,D4,D4 Coupe (F32),4.6 sec ,12.516
Alpina,B3,B3 Coupe (E46),6.3 sec ,13.218
Alpina,B3,B3 Coupe (E46),5.4 sec ,13.218
Alpina,B3,B3 Coupe (E46),6.6 sec ,13.134
Alpina,B3,B3 Coupe (E46),5.7 sec ,13.134
Alpina,C2,C2 (E30),not known
Alpina,C2,C2 (E30),not known
Alpina,C2,C2 (E30),not known
Alpina,C2,C2 (E30),not known
Aston Martin,V8 Vantage,V8 Vantage,not known
Aston Martin,V8 Vantage,V8 Vantage,13.134
Aston Martin,Tickford Capri,Tickford Capri,not known
Alpina,B8,B8 (E36),5.6 sec ,12.516
Alpina,B8,B8 (E36),5.8 sec ,12.788
Aston Martin,Cygnet,Cygnet V8,11.172
Aston Martin,V12 Vantage,V12 Vantage Roadster,3.9 sec ,10.811
Acura,Integra,Integra II Hatchback,15.532
Acura,Integra,Integra II Hatchback,15.411
Acura,Integra,Integra II Hatchback,15.885
Acura,Integra,Integra II Hatchback,15.769
Acura,Integra,Integra II Hatchback,14.773
Acura,SLX,SLX,9 sec ,16.112
Acura,SLX,SLX,10 sec ,16.653
Aston Martin,AMV8,AMV8,12.516
Aston Martin,AMV8,AMV8,12.516
Aston Martin,AMV8,AMV8,13.218
Aston Martin,AMV8,AMV8,13.218
Aston Martin,AMV8,AMV8,12.232
Aston Martin,AMV8,AMV8,12.232
Aston Martin,DB7,DB7 Volante,5 sec ,12.516
Aston Martin,DB7,DB7 Volante,5 sec ,12.516
Aston Martin,DB7,DB7 Volante,5 sec ,12.423
Aston Martin,DB7,DB7 Volante,5 sec ,12.423
Aston Martin,DB7,DB7 Volante,6 sec ,12.788
Aston Martin,DB7,DB7 Volante,6 sec ,12.788
Aston Martin,V8 Vantage,V8 Vantage (2018),3.6 sec ,10.811
Aston Martin,V8 Vantage,V8 Vantage (2018),3.6 sec ,10.934
Acura,NSX,NSX I,12.964
Acura,NSX,NSX I,5.9 sec ,13.134
Acura,NSX,NSX I,5.9 sec ,12.964
Acura,NSX,NSX I,5.9 sec ,12.964
Acura,NSX,NSX I,5.9 sec ,13.382
Acura,NSX,NSX I,5.9 sec ,13.382
Alpina,B3,B3 Coupe (E36),6.4 sec ,13.218
Alpina,B3,B3 Coupe (E36),6.1 sec ,13.218
Alpina,C1,C1 (E30),not known
Alpina,C1,C1 (E30),7.8 sec ,not known
Aston Martin,AMV8,AMV8 Volante,12.232
Aston Martin,AMV8,AMV8 Volante,12.232
Aston Martin,AMV8,AMV8 Volante,13.382
Aston Martin,AMV8,AMV8 Volante,13.382
Aston Martin,AMV8,AMV8 Volante,13.621
Aston Martin,AMV8,AMV8 Volante,13.621
Acura,RDX,RDX III (facelift 2021),14.292
Acura,RDX,RDX III (facelift 2021),14.002
Alpina,B9,B9 Coupe (E24),not known
Alpina,B3,B3 (E90),4.8 sec ,12.608
Alpina,B3,B3 (E90),4.9 sec ,12.608
Aston Martin,V8 Vantage,V8 Vantage Roadster (2005),5 sec ,12.134
Alpina,B4,B4 Gran Coupe (G26),3.7 sec ,12.034
Alpina,B6,B6 Coupe (F13),4.3 sec ,11.51
Alpina,B8,B8 Cabrio (E36),not known
Acura,RDX,RDX I,14.773
Alpina,B7,B7 (G12),3.7 sec ,11.287
Alpina,B10,B10 (E34),not known
Alpina,B10,B10 (E34),not known
Alpina,B10,B10 (E34),not known
Alpina,B10,B10 (E34),not known
Alpina,B10,B10 (E34),not known
Acura,ILX,ILX,14.292
Acura,ILX,ILX,15.711
Acura,ILX,ILX,17.405
Aston Martin,DB9,DB9 Coupe (facelift 2012),4.6 sec ,11.51
Acura,RLX,RLX,13.621
Alpina,C1,C1 (E21),7.9 sec ,not known
Acura,RDX,RDX III,not known
Acura,Integra,Integra III Sedan,6.7 sec ,13.542
Acura,Integra,Integra III Sedan,7.2 sec ,14.84
Acura,Integra,Integra III Sedan,15.652
Acura,Integra,Integra III Sedan,15.411
Acura,TSX,TSX Sport Wagon,15.225
Alpina,D5,"D5 Sedan (G30, facelift 2020)",4.4 sec ,12.877
Aston Martin,DB4,DB4 GT,12.134
Acura,RL,RL II,6.7 sec ,13.852
Acura,RL,RL II,6.7 sec ,13.852
Acura,RL,RL II,6.7 sec ,14.002
Aston Martin,DB4,DB4,13.301
Aston Martin,DB4,DB4,13.301
Aston Martin,DB6,DB6 Volante,13.049
Alpina,B8,B8 Touring (E36),not known
Acura,RSX,RSX,6.2 sec ,13.927
Acura,RSX,RSX,6.7 sec ,14.002
Acura,RSX,RSX,14.97
Acura,RSX,RSX,14.97
Alpina,D3,D3 Touring (G21),4.8 sec ,13.542
Alpina,D5,"D5 Sedan (F10 LCI, Facelift 2013)",5.1 sec ,13.218
Acura,CSX,CSX,15.288
Alpina,B3,B3 (E36),6.4 sec ,12.964
Alpina,B3,B3 (E36),5.9 sec ,12.964
Alpina,B3,B3 (E36),6.4 sec ,13.218
Alpina,B3,B3 (E36),6.1 sec ,13.218
Alpina,RLE Roadster,RLE Roadster (Z1),not known
Alpina,D3,D3 Touring (F31),4.6 sec ,not known
Alpina,D3,D3 Touring (F31),4.5 sec ,not known
Alpina,B3,B3 Cabrio (E46),6.6 sec ,13.218
Alpina,B3,B3 Cabrio (E46),5.8 sec ,13.218
Alpina,B3,B3 Cabrio (E46),6.9 sec ,13.621
Alpina,B3,B3 Cabrio (E46),6.1 sec ,13.621
Alpina,B6,B6 Cabrio (F12),4.4 sec ,11.726
Acura,Integra,Integra III Coupe,6.7 sec ,13.542
Acura,Integra,Integra III Coupe,not known
Acura,Integra,Integra III Coupe,14.707
Acura,Integra,Integra III Coupe,15.532
Acura,Integra,Integra III Coupe,15.225
Alpina,B5,"B5 Touring (G31, facelift 2020)",3.6 sec ,11.4
Alpina,B5,"B5 Touring (G31, facelift 2020)",3.6 sec ,11.51
Alpina,D3,D3 (E90),7.4 sec ,14.707
Alpina,D3,D3 (E90),6.9 sec ,14.502
Alpina,D3,D3 (E90),6.9 sec ,14.433
Acura,ILX,ILX (facelift 2019),14.502
Acura,TSX,TSX (facelift),13.776
Acura,TSX,TSX (facelift),14.97
Acura,TSX,TSX (facelift),15.099
Alpina,B3,B3 Touring (G21),3.9 sec ,12.034
Alpina,B10,B10 Touring (E34),6.3 sec ,12.877
Alpina,B10,B10 Touring (E34),6.3 sec ,12.877
Alpina,B10,B10 Touring (E34),6.7 sec ,13.382
Aston Martin,DB5,DB5,13.049
Alpina,D3,D3 Coupe (E92),6.9 sec ,14.502
Alpina,D3,D3 Coupe (E92),6.9 sec ,14.433
Aston Martin,V8 Vantage,V8 Vantage (2005),11.172
Aston Martin,V8 Vantage,V8 Vantage (2005),5 sec ,12.134
Alpina,B3,B3 (E46),6.3 sec ,12.788
Alpina,B3,B3 (E46),5.4 sec ,12.788
Alpina,B3,B3 (E46),6.9 sec ,13.463
Alpina,B3,B3 (E46),6.6 sec ,13.134
