Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Chrysler,300,300 II (facelift 2015),12.134
Chrysler,300,300 II (facelift 2015),14.002
Chrysler,300,300 II (facelift 2015),13.776
Chrysler,300,300 II (facelift 2015),13.218
Chrysler,300,300 II (facelift 2015),14.148
Chrysler,300,300 II (facelift 2015),13.927
Chrysler,300,300 II (facelift 2015),14.075
Chrysler,Prowler,Prowler,6.8 sec ,12.964
Chrysler,Fifth Avenue,Fifth Avenue I,not known
Chrysler,Voyager,Grand Voyager III,12.9 sec ,17.062
Chrysler,Voyager,Grand Voyager III,17.308
Chrysler,Voyager,Grand Voyager III,12.6 sec ,19.417
Chrysler,Voyager,Voyager V,not known
Chrysler,Voyager,Voyager V,11.9 sec ,18.007
Chrysler,Voyager,Voyager V,12.4 sec ,17.826
Chrysler,PT Cruiser,PT Cruiser,7.5 sec ,14.292
Chrysler,PT Cruiser,PT Cruiser,7 sec ,14.292
Chrysler,PT Cruiser,PT Cruiser,7.5 sec ,15.162
Chrysler,PT Cruiser,PT Cruiser,7.5 sec ,15.162
Chrysler,PT Cruiser,PT Cruiser,12.2 sec ,16.056
Chrysler,PT Cruiser,PT Cruiser,10.3 sec ,16.056
Chrysler,PT Cruiser,PT Cruiser,12.1 sec ,17.688
Chrysler,PT Cruiser,PT Cruiser,10.3 sec ,16.387
Chrysler,PT Cruiser,PT Cruiser,12.8 sec ,16.0
Chrysler,PT Cruiser,PT Cruiser,11.1 sec ,16.0
Chrysler,PT Cruiser,PT Cruiser,12.8 sec ,16.333
Chrysler,PT Cruiser,PT Cruiser,11.1 sec ,16.333
Chrysler,PT Cruiser,PT Cruiser,13.5 sec ,17.308
Chrysler,Voyager,Voyager III,12.6 sec ,16.809
Chrysler,Voyager,Voyager III,17.357
Chrysler,Voyager,Voyager III,11.4 sec ,17.162
Chrysler,Voyager,Voyager III,13.8 sec ,19.183
Chrysler,Voyager,Voyager III,12.5 sec ,17.308
Chrysler,Voyager,Voyager III,12.6 sec ,17.734
Chrysler,300M,300M,7.8 sec ,14.148
Chrysler,300M,300M,10.2 sec ,15.099
Chrysler,Nassau,Nassau Concept,12.788
Chrysler,Cirrus,Cirrus Coupe,10.9 sec ,16.168
Chrysler,Concorde,Concorde II,14.221
Chrysler,Concorde,Concorde II,7.8 sec ,14.148
Chrysler,Concorde,Concorde II,8 sec ,14.502
Chrysler,Concorde,Concorde II,9.5 sec ,14.433
Chrysler,Concorde,Concorde II,8.8 sec ,14.97
Chrysler,Pacifica (minivan),Pacifica (facelift 2021),14.905
Chrysler,Pacifica (minivan),Pacifica (facelift 2021),14.502
Chrysler,Pacifica (minivan),Pacifica (facelift 2021),15.532
Chrysler,Sebring,Sebring Convertible (JS),11.8 sec ,17.688
Chrysler,Sebring,Sebring Convertible (JS),11.8 sec ,17.688
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Sebring,Sebring Convertible (JS),not known
Chrysler,Voyager,Voyager IV,10 sec ,15.35
Chrysler,Voyager,Voyager IV,9.6 sec ,15.35
Chrysler,Voyager,Voyager IV,14.2 sec ,16.495
Chrysler,Voyager,Voyager IV,12.6 sec ,16.495
Chrysler,Voyager,Voyager IV,11.9 sec ,17.917
Chrysler,Voyager,Voyager IV,11.9 sec ,17.78
Chrysler,Voyager,Voyager IV,17.112
Chrysler,Voyager,Voyager IV,17.112
Chrysler,Voyager,Voyager IV,14.1 sec ,17.308
Chrysler,Voyager,Voyager IV,12.4 sec ,17.308
Chrysler,New Yorker,New Yorker XIV,14.905
Chrysler,New Yorker,New Yorker Fifth Avenue,16.653
Chrysler,New Yorker,New Yorker Fifth Avenue,16.548
Chrysler,Pacifica (crossover),Pacifica,15.411
Chrysler,Pacifica (crossover),Pacifica,15.225
Chrysler,Pacifica (crossover),Pacifica,10 sec ,15.885
Chrysler,Pacifica (crossover),Pacifica,10 sec ,15.472
Chrysler,Pacifica (crossover),Pacifica,10 sec ,15.162
Chrysler,LE Baron,Le Baron,11.1 sec ,15.943
Chrysler,LE Baron,Le Baron,8.7 sec ,15.592
Chrysler,LE Baron,Le Baron,8.7 sec ,15.592
Chrysler,LE Baron,Le Baron,18.007
Chrysler,LE Baron,Le Baron,not known
Chrysler,LE Baron,Le Baron,not known
Chrysler,Town & Country,Town & Country I,17.062
Chrysler,Town & Country,Town & Country I,17.26
Chrysler,PT Cruiser,PT Cruiser Cabrio,7.6 sec ,not known
Chrysler,PT Cruiser,PT Cruiser Cabrio,not known
Chrysler,PT Cruiser,PT Cruiser Cabrio,not known
Chrysler,PT Cruiser,PT Cruiser Cabrio,12.8 sec ,16.86
Chrysler,PT Cruiser,PT Cruiser Cabrio,9.7 sec ,16.86
Chrysler,Voyager,Grand Voyager IV,11 sec ,15.711
Chrysler,Voyager,Grand Voyager IV,12.4 sec ,17.547
Chrysler,Voyager,Grand Voyager IV,11.7 sec ,17.112
Chrysler,Voyager,Grand Voyager IV,12 sec ,18.052
Chrysler,Voyager,Grand Voyager IV,11.9 sec ,18.272
Chrysler,Voyager,Grand Voyager IV,16 sec ,17.917
Chrysler,Voyager,Grand Voyager IV,15.8 sec ,17.917
Chrysler,Conquest,Conquest,not known
Chrysler,200,200 I,13.542
Chrysler,200,200 I,15.652
Chrysler,200,200 I,not known
Chrysler,LE Baron,LE Baron Coupe,11.5 sec ,16.112
Chrysler,LE Baron,LE Baron Coupe,11.5 sec ,16.112
Chrysler,LE Baron,LE Baron Coupe,11.5 sec ,16.387
Chrysler,LE Baron,LE Baron Coupe,11.5 sec ,16.387
Chrysler,LE Baron,LE Baron Coupe,8.5 sec ,15.711
Chrysler,LE Baron,LE Baron Coupe,8.5 sec ,15.711
Chrysler,LE Baron,LE Baron Coupe,8.7 sec ,15.711
Chrysler,LE Baron,LE Baron Coupe,8.7 sec ,15.711
Chrysler,LE Baron,LE Baron Coupe,17.734
Chrysler,LE Baron,LE Baron Coupe,not known
Chrysler,LE Baron,LE Baron Coupe,not known
Chrysler,Sebring,Sebring Sedan (JS),not known
Chrysler,Sebring,Sebring Sedan (JS),not known
Chrysler,Sebring,Sebring Sedan (JS),10.3 sec ,15.532
Chrysler,Sebring,Sebring Sedan (JS),10.3 sec ,15.532
Chrysler,Sebring,Sebring Sedan (JS),11 sec ,15.828
Chrysler,Sebring,Sebring Sedan (JS),15.828
Chrysler,Sebring,Sebring Sedan (JS),not known
Chrysler,Sebring,Sebring Sedan (JS),not known
Chrysler,Sebring,Sebring Sedan (JS),not known
Chrysler,Sebring,Sebring Sedan (JS),not known
Chrysler,Voyager,Voyager II,13.5 sec ,17.162
Chrysler,Voyager,Voyager II,12.8 sec ,16.706
Chrysler,Voyager,Voyager II,13.5 sec ,not known
Chrysler,Voyager,Voyager II,12.7 sec ,16.441
Chrysler,Voyager,Voyager II,12.3 sec ,18.444
Chrysler,Voyager,Voyager II,16 sec ,18.571
Chrysler,Voyager,Voyager II,16 sec ,18.571
Chrysler,Voyager,Voyager II,15.2 sec ,19.063
Chrysler,Voyager,Voyager II,15.2 sec ,19.063
Chrysler,300,300 Touring,5 sec ,12.608
Chrysler,300,300 Touring,6.4 sec ,13.621
Chrysler,300,300 Touring,6.4 sec ,13.382
Chrysler,300,300 Touring,9.2 sec ,14.905
Chrysler,300,300 Touring,9.2 sec ,14.502
Chrysler,300,300 Touring,7.9 sec ,15.532
Chrysler,300,300 Touring,11.1 sec ,15.711
Chrysler,Viper,Viper,4.5 sec ,11.51
Chrysler,Fifth Avenue,Fifth Avenue II,not known
Chrysler,Fifth Avenue,Fifth Avenue II,not known
