Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Peugeot,206,206 SW,12.7 sec ,16.962
Peugeot,206,206 SW,14.7 sec ,17.962
Peugeot,206,206 SW,14.7 sec ,19.023
Peugeot,206,206 SW,17.8 sec ,19.3
Peugeot,308,"308 SW II (Phase II, 2017)",8.4 sec ,15.099
Peugeot,308,"308 SW II (Phase II, 2017)",7.6 sec ,14.075
Peugeot,308,"308 SW II (Phase II, 2017)",8.4 sec ,15.225
Peugeot,308,"308 SW II (Phase II, 2017)",8.9 sec ,16.056
Peugeot,308,"308 SW II (Phase II, 2017)",9.2 sec ,15.652
Peugeot,308,"308 SW II (Phase II, 2017)",7.6 sec ,not known
Peugeot,308,"308 SW II (Phase II, 2017)",9.9-10.6 sec ,16.809
Peugeot,308,"308 SW II (Phase II, 2017)",9.9-10.7 sec ,16.758
Peugeot,308,"308 SW II (Phase II, 2017)",11.8 sec ,17.405
Peugeot,308,"308 SW II (Phase II, 2017)",9.7 sec ,16.387
Peugeot,308,"308 SW II (Phase II, 2017)",10 sec ,16.333
Peugeot,308,"308 SW II (Phase II, 2017)",11.9 sec ,17.26
Peugeot,308,"308 SW II (Phase II, 2017)",10.2 sec ,not known
Peugeot,308,"308 SW II (Phase II, 2017)",9.5-10.1 sec ,15.885
Peugeot,308,"308 SW II (Phase II, 2017)",9.4 sec ,not known
Peugeot,308,"308 SW II (Phase II, 2017)",10.0-10.6 sec ,15.885
Peugeot,308,"308 SW II (Phase II, 2017)",10.5 sec ,not known
Peugeot,308,"308 SW II (Phase II, 2017)",11.6-12.4 sec ,16.758
Peugeot,301,301 (facelift 2017),12.1 sec ,16.168
Peugeot,301,301 (facelift 2017),10.3 sec ,16.056
Peugeot,301,301 (facelift 2017),11.9 sec ,16.809
Peugeot,301,301 (facelift 2017),not known
Peugeot,301,301 (facelift 2017),14.5 sec ,17.357
Peugeot,4007,4007,9.6 sec ,16.601
Peugeot,4007,4007,9.9 sec ,17.112
Peugeot,4007,4007,9.9 sec ,17.112
Porsche,911,911 Targa (992),3.8 sec ,11.726
Porsche,911,911 Targa (992),4.4 sec ,11.619
Porsche,911,911 Targa (992),3.5 sec ,11.51
Porsche,911,911 Targa (992),4.3 sec ,11.4
Porsche,911,911 Targa (992),4.4 sec ,12.328
Peugeot,304,304 Cabrio,not known
Peugeot,304,304 Cabrio,not known
Porsche,911,911 Targa (964),5.7 sec ,13.621
Porsche,911,911 Targa (964),6.6 sec ,13.382
Porsche,911,911 Targa (964),5.7 sec ,13.301
Peugeot,508,"508 I RXH (Phase II, 2014)",8.8 sec ,15.711
Peugeot,508,"508 I RXH (Phase II, 2014)",8.9 sec ,16.056
Porsche,968,968,12.328
Porsche,968,968,5 sec ,12.328
Porsche,968,968,7.9 sec ,13.542
Porsche,968,968,6.5 sec ,13.542
Porsche,917,917,9.048
Peugeot,207,207 CC (facelift 2009),12.6 sec ,17.112
Peugeot,207,207 CC (facelift 2009),10.7 sec ,16.962
Peugeot,207,207 CC (facelift 2009),8.5 sec ,15.769
Peugeot,207,207 CC (facelift 2009),8.6 sec ,16.0
Peugeot,207,207 CC (facelift 2009),11.6 sec ,17.594
Peugeot,207,207 CC (facelift 2009),10.9 sec ,17.78
Peugeot,405,"405 I (15B, facelift 1992)",not known
Peugeot,405,"405 I (15B, facelift 1992)",7.1 sec ,14.363
Peugeot,405,"405 I (15B, facelift 1992)",9.8 sec ,15.099
Peugeot,405,"405 I (15B, facelift 1992)",9.8 sec ,15.099
Peugeot,405,"405 I (15B, facelift 1992)",11.3 sec ,16.0
Peugeot,405,"405 I (15B, facelift 1992)",12.7 sec ,17.734
Peugeot,405,"405 I (15B, facelift 1992)",18.3 sec ,19.378
Peugeot,405,"405 I (15B, facelift 1992)",not known
Peugeot,405,"405 I (15B, facelift 1992)",16.809
Peugeot,405,"405 I (15B, facelift 1992)",16.809
Peugeot,405,"405 I (15B, facelift 1992)",13.6 sec ,17.547
Peugeot,405,"405 I (15B, facelift 1992)",15.1 sec ,18.096
Peugeot,405,"405 I (15B, facelift 1992)",not known
Porsche,Cayenne,Cayenne (955),5.2 sec ,12.516
Porsche,Cayenne,Cayenne (955),5.6 sec ,13.301
Porsche,Cayenne,Cayenne (955),7.2 sec ,14.221
Porsche,Cayenne,Cayenne (955),6.8 sec ,14.148
Porsche,Cayenne,Cayenne (955),9.7 sec ,15.592
Porsche,Cayenne,Cayenne (955),9.1 sec ,15.532
Peugeot,Pick Up,Pick Up,18.943
Peugeot,Pick Up,Pick Up,18.315
Peugeot,505,505 Break (551D),not known
Peugeot,505,505 Break (551D),not known
Peugeot,505,505 Break (551D),19.5 sec ,19.978
Peugeot,505,505 Break (551D),not known
Peugeot,505,505 Break (551D),not known
Peugeot,505,505 Break (551D),not known
Peugeot,505,505 Break (551D),12.8 sec ,17.26
Peugeot,505,505 Break (551D),12.8 sec ,17.962
Peugeot,505,505 Break (551D),not known
Peugeot,505,505 Break (551D),not known
Porsche,912,912E,13.5 sec ,18.052
Porsche,918,918 Spyder,2.6 sec ,9.39
Peugeot,206,206 Sedan,13.7 sec ,not known
Peugeot,206,206 Sedan,not known
Peugeot,206,206 Sedan,14.6 sec ,not known
Peugeot,309,"309 (3C,3A facelift 1989) 3-door",7.8 sec ,13.776
Peugeot,309,"309 (3C,3A facelift 1989) 3-door",8.2 sec ,14.075
Peugeot,309,"309 (3C,3A facelift 1989) 3-door",8.7 sec ,14.84
Peugeot,309,"309 (3C,3A facelift 1989) 3-door",15.3 sec ,18.401
Peugeot,309,"309 (3C,3A facelift 1989) 3-door",13 sec ,17.211
Peugeot,309,"309 (3C,3A facelift 1989) 3-door",14.7 sec ,16.224
Peugeot,309,"309 (3C,3A facelift 1989) 3-door",11.1 sec ,17.012
Peugeot,309,"309 (3C,3A facelift 1989) 3-door",15.4 sec ,18.228
Peugeot,5008,"5008 I (Phase II, 2013)",10.5 sec ,16.279
Peugeot,5008,"5008 I (Phase II, 2013)",10.4 sec ,16.168
Peugeot,5008,"5008 I (Phase II, 2013)",10 sec ,16.653
Peugeot,5008,"5008 I (Phase II, 2013)",9.9 sec ,16.548
Peugeot,5008,"5008 I (Phase II, 2013)",9.8 sec ,16.441
Peugeot,5008,"5008 I (Phase II, 2013)",12.3 sec ,17.308
Peugeot,5008,"5008 I (Phase II, 2013)",12.2 sec ,17.211
Peugeot,5008,"5008 I (Phase II, 2013)",9.6 sec ,15.828
Peugeot,5008,"5008 I (Phase II, 2013)",9.9 sec ,16.279
Peugeot,5008,"5008 I (Phase II, 2013)",9.8 sec ,16.168
Peugeot,5008,"5008 I (Phase II, 2013)",9.6 sec ,16.112
Peugeot,5008,"5008 I (Phase II, 2013)",9.6 sec ,16.0
Peugeot,5008,"5008 I (Phase II, 2013)",12.9 sec ,17.871
Peugeot,5008,"5008 I (Phase II, 2013)",12.3 sec ,17.734
Peugeot,5008,"5008 I (Phase II, 2013)",13.3 sec ,17.917
Peugeot,5008,"5008 I (Phase II, 2013)",13.2 sec ,17.734
Peugeot,5008,"5008 I (Phase II, 2013)",12.7 sec ,17.641
Peugeot,5008,"5008 I (Phase II, 2013)",12 sec ,17.547
Peugeot,5008,"5008 I (Phase II, 2013)",10.8 sec ,16.809
Peugeot,307,307 Station Wagon (facelift 2005),17.26
Peugeot,307,307 Station Wagon (facelift 2005),17.162
Peugeot,307,307 Station Wagon (facelift 2005),16.706
Peugeot,307,307 Station Wagon (facelift 2005),16.601
Peugeot,307,307 Station Wagon (facelift 2005),18.096
Peugeot,307,307 Station Wagon (facelift 2005),13.3 sec ,18.902
Peugeot,307,307 Station Wagon (facelift 2005),18.052
Peugeot,307,307 Station Wagon (facelift 2005),17.917
Peugeot,406,"406 Coupe (Phase I, 1997)",9.5 sec ,14.707
Peugeot,406,"406 Coupe (Phase I, 1997)",7.8 sec ,14.707
Peugeot,406,"406 Coupe (Phase I, 1997)",7.9 sec ,14.97
Peugeot,406,"406 Coupe (Phase I, 1997)",7.9 sec ,14.97
Peugeot,406,"406 Coupe (Phase I, 1997)",10.9 sec ,16.653
Peugeot,406,"406 Coupe (Phase I, 1997)",9.9 sec ,15.769
Peugeot,406,"406 Coupe (Phase I, 1997)",10.4 sec ,16.495
Peugeot,406,"406 Coupe (Phase I, 1997)",16.653
Peugeot,108,108 Hatch,11 sec ,16.601
Peugeot,108,108 Hatch,15.2 sec ,17.308
Peugeot,108,108 Hatch,13.8 sec ,17.211
Peugeot,108,108 Hatch,14.3 sec ,18.444
Peugeot,108,108 Hatch,13 sec ,17.547
Peugeot,301,301,11.8 sec ,16.056
Peugeot,301,301,10.3 sec ,16.056
Peugeot,301,301,12.4 sec ,17.26
Peugeot,301,301,15.9 sec ,18.096
Porsche,Cayman,Cayman (987c),6.1 sec ,12.699
Porsche,Cayman,Cayman (987c),5.4 sec ,12.608
Porsche,Cayman,Cayman (987c),7.0 sec ,13.463
Porsche,Cayman,Cayman (987c),6.1 sec ,13.218
Porsche,Panamera,Panamera (G2 II),3.2 sec ,11.51
Porsche,Panamera,Panamera (G2 II),3.1 sec ,11.287
Porsche,Panamera,Panamera (G2 II),3.3 sec ,11.51
Porsche,Panamera,Panamera (G2 II),3.2 sec ,11.4
Porsche,Panamera,Panamera (G2 II),3.9 sec ,12.232
Porsche,Panamera,Panamera (G2 II),3.8 sec ,12.232
Porsche,Panamera,Panamera (G2 II),4.4 sec ,12.608
Porsche,Panamera,Panamera (G2 II),3.7 sec ,12.034
Porsche,Panamera,Panamera (G2 II),4.3 sec ,12.423
Porsche,Panamera,Panamera (G2 II),4.5 sec ,12.964
Porsche,Panamera,Panamera (G2 II),5.4 sec ,13.852
Porsche,Panamera,Panamera (G2 II),4.4 sec ,12.788
Porsche,Panamera,Panamera (G2 II),5.3 sec ,13.621
Peugeot,309,"309 (10C,10A)",not known
Peugeot,309,"309 (10C,10A)",14.8 sec ,18.613
Peugeot,309,"309 (10C,10A)",not known
Peugeot,309,"309 (10C,10A)",not known
Peugeot,309,"309 (10C,10A)",not known
Peugeot,309,"309 (10C,10A)",not known
Peugeot,309,"309 (10C,10A)",16 sec ,17.012
Peugeot,309,"309 (10C,10A)",13.4 sec ,17.211
Peugeot,309,"309 (10C,10A)",11.1 sec ,15.592
Peugeot,309,"309 (10C,10A)",14.8 sec ,17.962
Peugeot,309,"309 (10C,10A)",17.3 sec ,18.943
Peugeot,605,605 (6B),8.4 sec ,not known
Peugeot,605,605 (6B),8.4 sec ,not known
Peugeot,605,605 (6B),8.6 sec ,15.225
Peugeot,605,605 (6B),10.9 sec ,15.885
Peugeot,605,605 (6B),9.7 sec ,15.885
Peugeot,605,605 (6B),12.1 sec ,17.452
Peugeot,605,605 (6B),11 sec ,18.007
Peugeot,605,605 (6B),11 sec ,18.007
Peugeot,605,605 (6B),17.6 sec ,19.645
Peugeot,605,605 (6B),10 sec ,16.333
Peugeot,605,605 (6B),10 sec ,16.333
Peugeot,605,605 (6B),10 sec ,16.387
Peugeot,605,605 (6B),10 sec ,16.387
Peugeot,605,605 (6B),10.9 sec ,16.758
Peugeot,605,605 (6B),12.1 sec ,16.86
Peugeot,308,"308 CC I (Phase II, 2011)",10.3 sec ,16.224
Peugeot,308,"308 CC I (Phase II, 2011)",8.9 sec ,16.112
Peugeot,308,"308 CC I (Phase II, 2011)",8.9 sec ,16.279
Peugeot,308,"308 CC I (Phase II, 2011)",12.5 sec ,17.826
Peugeot,308,"308 CC I (Phase II, 2011)",8.3 sec ,14.97
Peugeot,308,"308 CC I (Phase II, 2011)",9.8 sec ,16.279
Peugeot,308,"308 CC I (Phase II, 2011)",9.6 sec ,16.224
Peugeot,308,"308 CC I (Phase II, 2011)",12.2 sec ,17.962
Peugeot,308,"308 CC I (Phase II, 2011)",12.2 sec ,18.228
Peugeot,408 (crossover),408 (P54),14.905
Peugeot,408 (crossover),408 (P54),not known
Peugeot,408 (crossover),408 (P54),16.706
Porsche,911,911 Cabriolet (997),3.8 sec ,11.4
Porsche,911,911 Cabriolet (997),4 sec ,11.4
Porsche,911,911 Cabriolet (997),5.4 sec ,12.423
Porsche,911,911 Cabriolet (997),4.9 sec ,12.232
Porsche,911,911 Cabriolet (997),5.4 sec ,12.516
Porsche,911,911 Cabriolet (997),4.9 sec ,12.423
Porsche,911,911 Cabriolet (997),5.8 sec ,12.788
Porsche,911,911 Cabriolet (997),5.3 sec ,12.699
Porsche,911,911 Cabriolet (997),5.7 sec ,12.699
Porsche,911,911 Cabriolet (997),5.2 sec ,12.608
Porsche,911,911 (992),2.7 sec ,10.289
Porsche,911,911 (992),2.8 sec ,10.685
Porsche,911,911 (992),4.1 sec ,10.811
Porsche,911,911 (992),3.7 sec ,10.425
Porsche,911,911 (992),3.2 sec ,10.685
Porsche,911,911 (992),3.4 sec ,10.685
Porsche,911,911 (992),3.9 sec ,10.685
Porsche,911,911 (992),3.4 sec ,11.172
Porsche,911,911 (992),4.1 sec ,11.054
Porsche,911,911 (992),3.3 sec ,11.287
Porsche,911,911 (992),4.1 sec ,11.287
Porsche,911,911 (992),3.7 sec ,11.4
Porsche,911,911 (992),3.6 sec ,11.51
Porsche,911,911 (992),4.0 sec ,11.933
Porsche,911,911 (992),4.5 sec ,11.83
Porsche,911,911 (992),4.2 sec ,12.034
Porsche,911,911 (992),4.0-4.2 sec ,11.933
Peugeot,5008,"5008 II (Phase I, 2017)",9.1 - 10.2 sec ,15.472
Peugeot,5008,"5008 II (Phase I, 2017)",9.2 sec ,15.592
Peugeot,5008,"5008 II (Phase I, 2017)",9.6 - 10.8 sec ,16.279
Peugeot,5008,"5008 II (Phase I, 2017)",9.2-10.5 sec ,15.35
Peugeot,5008,"5008 II (Phase I, 2017)",8.3 sec ,14.905
Peugeot,5008,"5008 II (Phase I, 2017)",11.4 - 13.1 sec ,17.062
Peugeot,5008,"5008 II (Phase I, 2017)",11.9 - 13.6 sec ,17.112
Peugeot,5008,"5008 II (Phase I, 2017)",11.4 - 13.1 sec ,17.062
Peugeot,5008,"5008 II (Phase I, 2017)",13.6 - 15.6 sec ,18.052
Peugeot,5008,"5008 II (Phase I, 2017)",11.1 sec ,16.86
Peugeot,5008,"5008 II (Phase I, 2017)",10.7-12.3 sec ,16.387
Peugeot,5008,"5008 II (Phase I, 2017)",10.2 sec ,16.387
Peugeot,5008,"5008 II (Phase I, 2017)",10.4-11.9 sec ,16.387
Peugeot,5008,"5008 II (Phase I, 2017)",9.9 sec ,16.387
Peugeot,5008,"5008 II (Phase I, 2017)",10.9 - 12.4 sec ,16.387
Peugeot,607,"607 (Phase II, 2004)",9.2 sec ,15.035
Peugeot,607,"607 (Phase II, 2004)",8.7 sec ,15.411
Peugeot,607,"607 (Phase II, 2004)",9.3 sec ,16.168
Peugeot,607,"607 (Phase II, 2004)",12.6 sec ,17.357
Peugeot,607,"607 (Phase II, 2004)",11.5 sec ,17.162
Peugeot,607,"607 (Phase II, 2004)",10.9 sec ,16.0
Peugeot,607,"607 (Phase II, 2004)",12.3 sec ,16.168
Peugeot,607,"607 (Phase II, 2004)",9.9 sec ,16.056
Peugeot,607,"607 (Phase II, 2004)",10.8 sec ,17.211
Porsche,911,911 Speedster (991 II),4 sec ,10.811
Peugeot,404,404 Berline,not known
Peugeot,404,404 Berline,not known
Porsche,Cayman,"Cayman (987c, facelift 2009)",5.1 sec ,12.328
Porsche,Cayman,"Cayman (987c, facelift 2009)",5.2 sec ,12.232
Porsche,Cayman,"Cayman (987c, facelift 2009)",4.9 sec ,12.034
Porsche,Cayman,"Cayman (987c, facelift 2009)",5 sec ,11.933
Porsche,Cayman,"Cayman (987c, facelift 2009)",5.7 sec ,13.049
Porsche,Cayman,"Cayman (987c, facelift 2009)",5.8 sec ,12.964
Peugeot,504,504 Pick-up,not known
Peugeot,504,504 Pick-up,not known
Peugeot,504,504 Pick-up,not known
Peugeot,504,504 Pick-up,not known
Peugeot,304,304 Coupe,not known
Peugeot,304,304 Coupe,not known
Peugeot,104,104 Coupe,not known
Peugeot,104,104 Coupe,not known
Peugeot,104,104 Coupe,not known
Peugeot,104,104 Coupe,not known
Peugeot,104,104 Coupe,not known
Peugeot,104,104 Coupe,not known
Peugeot,104,104 Coupe,not known
Peugeot,208,208 I (facelift 2015),6.5 sec ,13.463
Peugeot,208,208 I (facelift 2015),9.4 sec ,15.943
Peugeot,208,208 I (facelift 2015),10.7 sec ,16.809
Peugeot,208,208 I (facelift 2015),13.3 sec ,18.358
Peugeot,208,208 I (facelift 2015),10.5 sec ,16.653
Peugeot,208,208 I (facelift 2015),9.9 sec ,16.279
Peugeot,208,208 I (facelift 2015),9.8 sec ,16.279
Peugeot,208,208 I (facelift 2015),9.3 sec ,16.224
Peugeot,208,208 I (facelift 2015),9.6 sec ,16.112
Peugeot,208,208 I (facelift 2015),13.5 sec ,17.826
Peugeot,208,208 I (facelift 2015),14.5 sec ,17.357
Peugeot,208,208 I (facelift 2015),12.2 sec ,17.211
Peugeot,208,208 I (facelift 2015),13.8 sec ,18.315
Peugeot,208,208 I (facelift 2015),14 sec ,18.315
Peugeot,Partner,Partner III Van,12.5-12.8 sec ,17.962
Peugeot,Partner,Partner III Van,15.7-16.5 sec ,19.645
Peugeot,Partner,Partner III Van,10.7 sec ,16.601
Peugeot,Partner,Partner III Van,10 sec ,16.653
Porsche,718,718 Spyder (982),3.4 sec ,10.685
Porsche,718,718 Spyder (982),3.9 sec ,11.51
Porsche,718,718 Spyder (982),4.4 sec ,11.4
Porsche,718,718 Spyder (982),4.4 sec ,11.4
Porsche,911,911 Dakar (992),3.4 sec ,11.287
Peugeot,306,306 Hatchback (facelift 1997),11.4 sec ,15.828
Peugeot,306,306 Hatchback (facelift 1997),10.4 sec ,15.592
Peugeot,306,306 Hatchback (facelift 1997),8.8 sec ,14.84
Peugeot,306,306 Hatchback (facelift 1997),11 sec ,17.641
Peugeot,306,306 Hatchback (facelift 1997),not known
Peugeot,306,306 Hatchback (facelift 1997),19.9 sec ,18.983
Peugeot,306,306 Hatchback (facelift 1997),not known
Peugeot,306,306 Hatchback (facelift 1997),11.2 sec ,16.279
Peugeot,306,306 Hatchback (facelift 1997),11.2 sec ,16.279
Peugeot,306,306 Hatchback (facelift 1997),10.3 sec ,16.911
Peugeot,306,306 Hatchback (facelift 1997),14.1 sec ,17.641
Peugeot,306,306 Hatchback (facelift 1997),13.5 sec ,17.547
Peugeot,306,306 Hatchback (facelift 1997),12.9 sec ,18.14
Peugeot,306,306 Break (7E),10.7 sec ,15.828
Peugeot,306,306 Break (7E),13.2 sec ,17.962
Peugeot,306,306 Break (7E),not known
Peugeot,306,306 Break (7E),17.9 sec ,19.3
Peugeot,306,306 Break (7E),19.2 sec ,19.417
Peugeot,306,306 Break (7E),14.1 sec ,17.962
Peugeot,306,306 Break (7E),12 sec ,16.809
Peugeot,306,306 Break (7E),15.7 sec ,17.211
Peugeot,306,306 Break (7E),17.26
Peugeot,306,306 Break (7E),17.162
Peugeot,306,306 Break (7E),14.1 sec ,17.641
Peugeot,306,306 Break (7E),15.3 sec ,18.358
Peugeot,306,306 Hatchback (7A/C),10.4 sec ,16.0
Peugeot,306,306 Hatchback (7A/C),8.5 sec ,14.571
Peugeot,306,306 Hatchback (7A/C),not known
Peugeot,306,306 Hatchback (7A/C),9.2 sec ,14.97
Peugeot,306,306 Hatchback (7A/C),12.4 sec ,17.547
Peugeot,306,306 Hatchback (7A/C),17.5 sec ,19.063
Peugeot,306,306 Hatchback (7A/C),not known
Peugeot,306,306 Hatchback (7A/C),12.2 sec ,16.706
Peugeot,306,306 Hatchback (7A/C),12.2 sec ,16.706
Peugeot,306,306 Hatchback (7A/C),12.9 sec ,17.308
Peugeot,306,306 Hatchback (7A/C),14.9 sec ,18.096
Peugeot,306,306 Hatchback (7A/C),18.4 sec ,19.222
Porsche,Boxster,Boxster (981),4.5 sec ,11.51
Porsche,Boxster,Boxster (981),5 sec ,12.328
Porsche,Boxster,Boxster (981),5.1 sec ,12.328
Porsche,Boxster,Boxster (981),4.9 sec ,12.232
Porsche,Boxster,Boxster (981),5 sec ,12.134
Porsche,Boxster,Boxster (981),5.7 sec ,13.049
Porsche,Boxster,Boxster (981),5.8 sec ,12.964
Peugeot,504,504 Cabrio,not known
Peugeot,504,504 Cabrio,not known
Peugeot,406,"406 Break (Phase II, 1999)",9.9 sec ,14.707
Peugeot,406,"406 Break (Phase II, 1999)",8.5 sec ,14.707
Peugeot,406,"406 Break (Phase II, 1999)",11.3 sec ,16.86
Peugeot,406,"406 Break (Phase II, 1999)",10.2 sec ,16.056
Peugeot,406,"406 Break (Phase II, 1999)",10.8 sec ,16.333
Peugeot,406,"406 Break (Phase II, 1999)",11.4 sec ,18.184
Peugeot,406,"406 Break (Phase II, 1999)",11.4 sec ,18.184
Peugeot,406,"406 Break (Phase II, 1999)",12.8 sec ,18.007
Peugeot,406,"406 Break (Phase II, 1999)",12.8 sec ,19.183
Peugeot,406,"406 Break (Phase II, 1999)",10.9 sec ,16.548
Peugeot,406,"406 Break (Phase II, 1999)",12.4 sec ,17.26
Peugeot,407,407,9.2 sec ,14.84
Peugeot,407,407,12.1 sec ,16.056
Peugeot,407,407,10.1 sec ,16.056
Peugeot,407,407,8.7 sec ,16.333
Peugeot,407,407,12.2 sec ,16.548
Peugeot,407,407,10.3 sec ,16.548
Peugeot,407,407,9.8 sec ,16.911
Peugeot,407,407,12.9 sec ,17.405
Peugeot,407,407,13.1 sec ,17.917
Peugeot,Traveller,Traveller Standard,10.1 sec ,16.112
Peugeot,Traveller,Traveller Standard,11 sec ,17.062
Peugeot,Traveller,Traveller Standard,13.4 sec ,18.401
Peugeot,Traveller,Traveller Standard,18.5 sec ,19.607
Peugeot,Traveller,Traveller Standard,14.7 sec ,19.531
Peugeot,2008,2008 I (facelift 2016),9.6 sec ,16.333
Peugeot,2008,2008 I (facelift 2016),11.3 sec ,17.26
Peugeot,2008,2008 I (facelift 2016),11.9 sec ,17.357
Peugeot,2008,2008 I (facelift 2016),11.3 sec ,17.162
Peugeot,2008,2008 I (facelift 2016),13.8 sec ,18.902
Peugeot,2008,2008 I (facelift 2016),9.3 sec ,15.711
Peugeot,2008,2008 I (facelift 2016),9.9 sec ,16.279
Peugeot,2008,2008 I (facelift 2016),10.3 sec ,16.548
Peugeot,2008,2008 I (facelift 2016),15.4 sec ,17.78
Peugeot,2008,2008 I (facelift 2016),13.5 sec ,17.688
Porsche,911,911 (991 II),2.9 sec ,10.425
Porsche,911,911 (991 II),2.9 sec ,10.685
Porsche,911,911 (991 II),3 sec ,10.934
Porsche,911,911 (991 II),3.2 sec ,10.685
Porsche,911,911 (991 II),3.4 sec ,10.811
Porsche,911,911 (991 II),3.9 sec ,10.685
Porsche,911,911 (991 II),2.8 sec ,9.708
Porsche,911,911 (991 II),3.7 sec ,11.287
Porsche,911,911 (991 II),4.1 sec ,11.172
Porsche,911,911 (991 II),3.6 sec ,11.4
Porsche,911,911 (991 II),4 sec ,11.287
Porsche,911,911 (991 II),4.1 sec ,11.51
Porsche,911,911 (991 II),4.3 sec ,11.4
Porsche,911,911 (991 II),4 sec ,11.619
Porsche,911,911 (991 II),4.2 sec ,11.51
Porsche,911,911 (991 II),4.2 sec ,11.933
Porsche,911,911 (991 II),4.5 sec ,11.933
Porsche,911,911 (991 II),4.4 sec ,11.933
Porsche,911,911 (991 II),4.6 sec ,11.933
Porsche,Boxster,Boxster (987),6.1 sec ,12.699
Porsche,Boxster,Boxster (987),5.4 sec ,12.608
Porsche,Boxster,Boxster (987),6.3 sec ,12.877
Porsche,Boxster,Boxster (987),5.5 sec ,12.788
Porsche,Boxster,Boxster (987),7.1 sec ,13.463
Porsche,Boxster,Boxster (987),6.2 sec ,13.301
Peugeot,2008,2008 II,9 sec ,17.062
Peugeot,2008,2008 II,9.3 sec ,16.056
Peugeot,2008,2008 II,9.5 sec ,16.86
Peugeot,2008,2008 II,11.4 sec ,17.405
Peugeot,2008,2008 II,8.2 sec ,15.035
Peugeot,2008,2008 II,9.1 sec ,15.943
Peugeot,2008,2008 II,8.9 sec ,15.885
Peugeot,2008,2008 II,10.9 sec ,17.308
Peugeot,Traveller,Traveller Long,9.8 sec ,16.279
Peugeot,Traveller,Traveller Long,10.8 sec ,17.211
Peugeot,Traveller,Traveller Long,13.5 sec ,18.571
Peugeot,107,"107 (Phase II, 2008) 5-door",14 sec ,17.594
Peugeot,107,"107 (Phase II, 2008) 5-door",14 sec ,17.547
Peugeot,107,"107 (Phase II, 2008) 5-door",13.7 sec ,17.452
Peugeot,107,"107 (Phase II, 2008) 5-door",13.7 sec ,17.26
Peugeot,Bipper,Bipper Tepee,16.2 sec ,18.902
Peugeot,Bipper,Bipper Tepee,16.6 sec ,19.023
Peugeot,4008,4008,11.5 sec ,16.333
Peugeot,4008,4008,11.6 sec ,17.547
Porsche,911,911 Targa (F),13.134
Porsche,911,911 Targa (F),15.035
Porsche,911,911 Targa (F),13.927
Porsche,911,911 Targa (F),15.288
Porsche,911,911 Targa (F),16.279
Porsche,911,911 Targa (F),14.002
Porsche,911,911 Targa (F),14.075
Porsche,911,911 Targa (F),15.35
Porsche,911,911 Targa (F),14.905
Peugeot,308,"308 III (Phase I, 2021)",10.5 sec ,16.758
Peugeot,308,"308 III (Phase I, 2021)",7.5 sec ,14.707
Peugeot,308,"308 III (Phase I, 2021)",7.6 sec ,15.711
Peugeot,308,"308 III (Phase I, 2021)",16.601
Peugeot,308,"308 III (Phase I, 2021)",16.495
Peugeot,308,"308 III (Phase I, 2021)",16.279
Peugeot,308,"308 III (Phase I, 2021)",16.168
Peugeot,308,"308 III (Phase I, 2021)",17.062
Peugeot,408,408 II (facelift 2018),15.35
Peugeot,408,408 II (facelift 2018),16.279
Peugeot,408,408 II (facelift 2018),16.112
Peugeot,Partner,Partner II Tepee,12.5 sec ,17.826
Peugeot,Partner,Partner II Tepee,14.3 sec ,18.943
Peugeot,Partner,Partner II Tepee,17.1 sec ,20.158
Peugeot,Partner,Partner II Tepee,16.7 sec ,18.902
Peugeot,Partner,Partner II Tepee,13.5 sec ,18.007
Peugeot,Rifter,Rifter Long,11.7 sec ,17.962
Peugeot,Rifter,Rifter Long,10.9 sec ,17.26
Peugeot,Rifter,Rifter Long,15 sec ,18.738
Peugeot,Rifter,Rifter Long,10.9 sec ,17.26
Peugeot,Rifter,Rifter Long,12.3 sec ,18.184
Peugeot,206,206 CC,8.9 sec ,15.828
Peugeot,206,206 CC,8.9 sec ,15.828
Peugeot,206,206 CC,11.2 sec ,16.911
Peugeot,206,206 CC,11.2 sec ,16.911
Peugeot,206,206 CC,10.5 sec ,16.911
Porsche,911,911 Targa (991 II),4.2 sec ,11.83
Porsche,911,911 Targa (991 II),4.4 sec ,11.83
Porsche,911,911 Targa (991 II),3.7 sec ,11.619
Porsche,911,911 Targa (991 II),4.1 sec ,11.51
Porsche,911,911 Targa (991 II),4.5 sec ,12.328
Porsche,911,911 Targa (991 II),4.7 sec ,12.232
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,305,305 II Break (581E),not known
Peugeot,406,"406 Coupe (Phase II, 2003)",9.5 sec ,14.707
Peugeot,406,"406 Coupe (Phase II, 2003)",7.8 sec ,14.639
Peugeot,406,"406 Coupe (Phase II, 2003)",10.9 sec ,16.653
Peugeot,406,"406 Coupe (Phase II, 2003)",9.9 sec ,15.532
Peugeot,406,"406 (Phase I, 1995)",not known
