Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Peugeot,106,106 I (1A/C),10.4 sec ,16.224
Peugeot,106,106 I (1A/C),10 sec ,15.411
Peugeot,106,106 I (1A/C),16.9 sec ,19.103
Peugeot,106,106 I (1A/C),21 sec ,19.417
Peugeot,106,106 I (1A/C),not known
Peugeot,106,106 I (1A/C),10.7 sec ,16.809
Peugeot,106,106 I (1A/C),not known
Peugeot,106,106 I (1A/C),13.7 sec ,17.826
Peugeot,106,106 I (1A/C),19.2 sec ,19.455
Pagani,Zonda,Zonda R,2.6 sec ,8.274
Pagani,Zonda,Zonda R,2.7 sec ,8.481
Peugeot,107,"107 (Phase III, 2012) 3-door",14 sec ,17.547
Peugeot,107,"107 (Phase III, 2012) 3-door",13.7 sec ,17.405
Peugeot,207,207 (facelift 2009),7.1 sec ,14.571
Peugeot,207,207 (facelift 2009),11.5 sec ,16.333
Peugeot,207,207 (facelift 2009),9.6 sec ,16.224
Peugeot,207,207 (facelift 2009),8 sec ,15.099
Peugeot,207,207 (facelift 2009),10.6 sec ,16.653
Peugeot,207,207 (facelift 2009),11.9 sec ,17.78
Peugeot,207,207 (facelift 2009),12.1 sec ,17.357
Peugeot,207,207 (facelift 2009),15 sec ,19.72
Peugeot,207,207 (facelift 2009),14.4 sec ,18.861
Peugeot,308,"308 SW I (Phase II, 2011)",10.3 sec ,16.224
Peugeot,308,"308 SW I (Phase II, 2011)",9.8 sec ,16.441
Peugeot,308,"308 SW I (Phase II, 2011)",14 sec ,17.308
Peugeot,308,"308 SW I (Phase II, 2011)",12 sec ,17.211
Peugeot,308,"308 SW I (Phase II, 2011)",9.5 sec ,16.056
Peugeot,308,"308 SW I (Phase II, 2011)",13.6 sec ,18.902
Peugeot,308,"308 SW I (Phase II, 2011)",12.3 sec ,17.962
Peugeot,308,"308 SW I (Phase II, 2011)",12.5 sec ,17.962
Peugeot,308,"308 SW I (Phase II, 2011)",15.2 sec ,18.228
Porsche,Cayenne,Cayenne II (facelift 2014),4.1 sec ,11.933
Porsche,Cayenne,Cayenne II (facelift 2014),4.5 sec ,12.232
Porsche,Cayenne,Cayenne II (facelift 2014),5.4 sec ,13.621
Porsche,Cayenne,Cayenne II (facelift 2014),5.5 sec ,12.964
Porsche,Cayenne,Cayenne II (facelift 2014),5.9 sec ,13.463
Porsche,Cayenne,Cayenne II (facelift 2014),5.2 sec ,12.788
Porsche,Cayenne,Cayenne II (facelift 2014),7.7 sec ,14.363
Porsche,Cayenne,Cayenne II (facelift 2014),7.3 sec ,15.225
Porsche,911,911 (993),4.5 sec ,11.726
Porsche,911,911 (993),4.4 sec ,10.934
Porsche,911,911 (993),5 sec ,12.232
Porsche,911,911 (993),5.3 sec ,13.049
Porsche,911,911 (993),5.3 sec ,12.964
Porsche,911,911 (993),5.4 sec ,12.877
Porsche,911,911 (993),5.4 sec ,12.788
Porsche,911,911 (993),5.5 sec ,13.218
Porsche,911,911 (993),5.6 sec ,13.134
Porsche,911,911 (993),5.6 sec ,13.049
Porsche,Panamera,Panamera (G2),3.5 sec ,11.51
Porsche,Panamera,Panamera (G2),3.5 sec ,11.51
Porsche,Panamera,Panamera (G2),3.4 sec ,11.4
Porsche,Panamera,Panamera (G2),3.4 sec ,11.4
Porsche,Panamera,Panamera (G2),3.9 sec ,11.83
Porsche,Panamera,Panamera (G2),3.9 sec ,11.83
Porsche,Panamera,Panamera (G2),3.6-3.8 sec ,11.619
Porsche,Panamera,Panamera (G2),3.8 sec ,11.619
Porsche,Panamera,Panamera (G2),4.1 sec ,12.328
